query,ngram_score
GRENADES ARE,0.000171674
COLORED CHEMICAL,0.000171674
PANELS MEANS,0.000171674
TWO COMMON,0.000171674
AND VISUAL,0.000171674
REPEATED CONTINUOUSLY,0.000171674
USE REQUIRES,0.000171674
AGREEMENT STANAG,0.000171674
WIDE STRIPS,0.000171674
36 VEE,0.000171674
IN GREEN,0.000515021
-32,0.000686695
INHAUL THE,0.000171674
RECOMMENDED CHANGES,0.000171674
", AERIAL",0.000171674
QUICK TIME,0.000171674
10-Dec,0.000171674
IN ENVIRONMENTS,0.000171674
MARK VEHICLE,0.000343348
60 ARMOR,0.000171674
LOCAL AMPLIFICATION,0.000171674
ARMS TEAM,0.000171674
SANCE AND,0.000171674
OF ANY,0.000171674
THE ADJUTANT,0.000171674
", M30",0.000171674
CREWS 2,0.000171674
MANUAL FM,0.000171674
KNOW THE,0.000171674
THE MOTIONS,0.000171674
"SIGNALS ,",0.003433476
PREVENT AIRCRAFT,0.000171674
MAP CHECK,0.000171674
EITHER SMOKE,0.000171674
TO REQUISITION,0.000171674
4 2,0.000343348
GROUND FORCES,0.000858369
16 B,0.000171674
MOVEMENT TECHNIQUES,0.000171674
BE TIMES,0.000171674
. CONTROL,0.000171674
IT PRODUCES,0.000343348
76 21,0.000171674
ARE DEFINED,0.000171674
", RIGHT",0.000343348
AVIATORS HAVE,0.000171674
. PYROTECHNIC,0.000171674
AS FOLLOWS,0.000171674
FLAG TO,0.000171674
MESSAGE ACKNOWLEDGED,0.000171674
-23,0.000858369
POSITION .,0.000171674
F .,0.000171674
THE VIEWER,0.000171674
CENTERED BELOW,0.000171674
. EMERGENCY,0.000343348
AUTHORIZED ABBREVIATIONS,0.000171674
-20,0.000343348
AT TRAFFIC,0.000171674
", 3",0.003090129
CONTROL .,0.000343348
THE SUPPLY,0.000171674
LY .,0.000171674
. SOME,0.000171674
SOURCES THAT,0.000171674
SIGNALS SUPPLEMENT,0.000171674
", M",0.000171674
MASK WILL,0.000171674
DROP ZONES,0.000343348
CONTAINING THE,0.000171674
S INTENTIONS,0.000171674
STOOD BY,0.000171674
UNTIL THE,0.000343348
WHILE THE,0.000171674
PAGE 2,0.000171674
TO PUBLICATIONS,0.000171674
THE FIGURE,0.000171674
"THROUGHOUT ,",0.000171674
ROUNDS .,0.000171674
PREARRANGED SIGNAL,0.000515021
DISTRIBUTION RESTRICTION,0.000171674
WHEELED VEHICLE,0.000171674
BEEN UNDER,0.000171674
ARE SIGNIFICANT,0.000171674
BE ORDERED,0.000171674
2 9,0.000171674
STANDARDIZATION AGREEMENT,0.000343348
PRESCRIBED IN,0.000171674
AND TO,0.000171674
NOT FIGURES,0.000171674
HQ TRADOC,0.000171674
DISPLAY AN,0.000343348
WHENEVER THE,0.000171674
THESE SIG,0.000171674
AIR IS,0.000171674
THIS COLOR,0.000171674
VEHICLE SIGNALS,0.000171674
THE COMBINED,0.000343348
#NAME?,0.000171674
AND -,0.003090129
III CHAPTER,0.000171674
6 -,0.000171674
18 DISREGARD,0.000171674
SMOKE IS,0.000171674
. DESCRIPTION,0.000343348
AND WOMEN,0.000171674
RADIOTELEPHONE OPERATOR,0.000171674
THE AXIS,0.000171674
32 HERRINGBONE,0.000171674
STRUCTED FROM,0.000171674
-31,0.000858369
"ACTION ,",0.000171674
TO REDUCE,0.000171674
DISPLAYING PANELS,0.000171674
DROP .,0.000171674
. INTRODUCTION,0.000171674
HEAVY CONCENTRA,0.000171674
AND IDENTIFICATION,0.000343348
BUT ARE,0.000171674
FOR LAYING,0.000171674
BY AUTHORIZED,0.000171674
CHAPTER 2,0.000343348
FRIENDLY UNIT,0.000171674
ONE YELLOW,0.000171674
WHITE AND,0.000171674
PUBLIC RELEASE,0.000343348
FOR THE,0.000686695
DIRECT TRAFFIC,0.000171674
VEHICLES .,0.000515021
SUSPENDED ILLUMINANT,0.000171674
TORN INTO,0.000171674
"ENGINE ,",0.000171674
MECHANIZED MOVEMENT,0.000171674
18 MOVE,0.000171674
EACH PANEL,0.000171674
THE VICINITY,0.000171674
AND WHITE,0.000686695
INDICATE WIND,0.000171674
TEST 17,0.000171674
"SECONDS ,",0.000171674
THE DISTANCE,0.000171674
"COLUMN ,",0.000343348
2 18,0.000171674
"60 ,",0.000171674
LUSTRATED WITH,0.000171674
PAINTED THE,0.000171674
TANCES BETWEEN,0.000171674
", GREEN",0.000343348
SIGNALS WHEN,0.000171674
"ADVANCE ,",0.000343348
IS NOT,0.000686695
PROVIDED THEIR,0.000171674
NONE RELATED,0.000171674
NEXT IS,0.000171674
17 FM,0.000171674
#NAME?,0.000171674
", GA",0.000171674
CONTROL POINT,0.000171674
PYROTECHNICS ARE,0.000343348
. REMOVE,0.000171674
53 ACTION,0.000171674
VEHICLE AS,0.000171674
SEMIPERMANENT FIGURE,0.000171674
"STICKS ,",0.000343348
UNDERSTAND THIS,0.000171674
DISPLAY IS,0.000343348
UNDER -,0.000171674
", FLAG",0.000343348
FORCES BY,0.000171674
MUST BE,0.000343348
ECHELON LEFT,0.000171674
-65,0.000171674
IN MANUALS,0.000171674
THE SECRETARY,0.000171674
#NAME?,0.000515021
-46,0.000515021
GRENADE USED,0.000171674
DEVELOPED TWO,0.000171674
CONTENTS PAGE,0.000171674
-79,0.000171674
INFANTRY AND,0.000171674
SIGHT AND,0.000171674
"ARMOR ,",0.000171674
"AHEAD ,",0.000171674
GRENADE LAUNCHERS,0.000171674
"ATTENTION ,",0.000171674
FOLLOWING MEANINGS,0.000171674
PYROTECHNIC ROUNDS,0.000171674
GREATER DISTANCES,0.000171674
COMER OF,0.000171674
CONTAINING A,0.000171674
CONTRASTS WITH,0.000171674
SOLDIERS ARE,0.000171674
INDICATE WHICH,0.000171674
THE ACRONYMS,0.000171674
TRAVELING OVERWATCH,0.000171674
WHENEVER POSSIBLE,0.000171674
A TRAINING,0.000171674
USED .,0.000515021
"WINCH ,",0.000343348
COMMUNICATIONS REFERENCES,0.000171674
", DC",0.000171674
ONCE FIGURES,0.000171674
COLOR AND,0.000343348
FOR TANKS,0.000171674
SIGNALS ILLUSTRATED,0.000171674
AIRCRAFT WILL,0.000171674
"OVER ,",0.000171674
HANDHELD SIGNALS,0.000858369
SMOKE SCREENS,0.000171674
2 15,0.000171674
CHANGE FROM,0.000171674
9 ATTENTION,0.000171674
FROM VIEW,0.000171674
KEEP THEM,0.000171674
BE VIEWED,0.000171674
OVER GREATER,0.000171674
